feature,importance
cat__Gender_F,0.3803683899348991
cat__Question_... if she burns the food,0.2378269754878844
cat__Question_... if she refuses to have sex with him,0.20283108583208193
cat__Question_... for at least one specific reason,0.08842247317577269
cat__Demographics Response_Higher,0.08380436208049384
cat__Question_... if she argues with him,0.0017350792183845583
cat__Demographics Response_Never married,0.0016197929160738315
cat__Demographics Response_Unemployed,0.0012077182526805126
cat__Demographics Response_Employed for kind,0.0009726269855656467
cat__Demographics Response_Rural,0.0008031465518679153
cat__Demographics Response_Secondary,0.0002786057095422875
"cat__Demographics Response_Widowed, divorced, separated",0.00012974385475325313
cat__Demographics Question_Age,0.0
cat__Question_... if she neglects the children,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Response_Urban,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Gender_M,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
num__SurveyYear,0.0
