feature,importance
cat__Question_... for at least one specific reason,0.5942001958009088
cat__Question_... if she neglects the children,0.1613492909969431
cat__Gender_M,0.14735471774965844
cat__Question_... if she burns the food,0.05187467937780311
cat__Question_... if she refuses to have sex with him,0.03870584758309005
cat__Demographics Question_Residence,0.0029143195655343223
cat__Demographics Question_Education,0.00186557063525554
cat__Gender_F,0.0010712549373014684
cat__Question_... if she argues with him,0.0005908133290568955
cat__Demographics Question_Employment,5.39679214135271e-05
cat__Demographics Question_Age,1.934210303458427e-05
cat__Demographics Response_Urban,0.0
cat__Demographics Response_Unemployed,0.0
cat__Question_... if she goes out without telling him,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Higher,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Marital status,0.0
num__SurveyYear,0.0
