feature,importance
cat__Demographics Response_Higher,0.24542983351964157
cat__Gender_M,0.23370230913807996
cat__Question_... if she burns the food,0.22357116867371088
cat__Question_... for at least one specific reason,0.16630050804194627
cat__Question_... if she refuses to have sex with him,0.10936886834804836
cat__Demographics Response_Secondary,0.011523318571902329
"cat__Demographics Response_Widowed, divorced, separated",0.0030555690596792725
cat__Demographics Response_Employed for kind,0.0028656647851838463
cat__Demographics Response_No education,0.0022505456285361876
cat__Question_... if she neglects the children,0.001599523809586971
cat__Demographics Response_15-24,0.0003326904236844422
cat__Question_... if she argues with him,0.0
cat__Demographics Response_Rural,0.0
cat__Demographics Response_Urban,0.0
cat__Question_... if she goes out without telling him,0.0
cat__Demographics Response_Unemployed,0.0
cat__Gender_F,0.0
cat__Demographics Response_Never married,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_35-49,0.0
cat__Demographics Response_25-34,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Marital status,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Education,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
