feature,importance
cat__Demographics Response_No education,0.23761826450236612
cat__Question_... for at least one specific reason,0.139722546610135
cat__Question_... if she burns the food,0.0895244604462475
"cat__Demographics Response_Widowed, divorced, separated",0.08073825263786442
cat__Question_... if she neglects the children,0.05955634521560978
cat__Question_... if she refuses to have sex with him,0.05688230190431216
cat__Gender_F,0.05458359854978294
cat__Gender_M,0.053661711713594046
cat__Demographics Response_Higher,0.03483644313038058
cat__Demographics Question_Education,0.03378498380884897
cat__Question_... if she goes out without telling him,0.024158044652253453
cat__Question_... if she argues with him,0.023308142774814602
cat__Demographics Question_Marital status,0.015703570729463105
cat__Demographics Response_Primary,0.014539847439316642
cat__Demographics Response_Employed for kind,0.010916762919465712
cat__Demographics Response_Secondary,0.010744646777718754
cat__Demographics Response_Never married,0.010709076036137204
cat__Demographics Question_Employment,0.007975036265037965
cat__Demographics Question_Age,0.006567446119274845
cat__Demographics Response_Married or living together,0.005898769408537172
cat__Demographics Response_Urban,0.005161296039914588
cat__Demographics Question_Residence,0.00467622731348844
cat__Demographics Response_Employed for cash,0.004653115034023343
cat__Demographics Response_Rural,0.004081166086145922
cat__Demographics Response_15-24,0.002770671293551201
cat__Demographics Response_Unemployed,0.00267082382370222
cat__Demographics Response_35-49,0.0026355467462859574
cat__Demographics Response_25-34,0.0019209020217274303
num__SurveyYear,0.0
