feature,importance
cat__Question_... for at least one specific reason,0.17276432464384747
cat__Question_... if she burns the food,0.13426943385746046
cat__Question_... if she refuses to have sex with him,0.12643758096534163
cat__Gender_M,0.11900846940443535
cat__Demographics Response_Employed for kind,0.11722209571421366
cat__Gender_F,0.1076299877132405
"cat__Demographics Response_Widowed, divorced, separated",0.05110766235365088
cat__Question_... if she neglects the children,0.036470349204891186
cat__Question_... if she goes out without telling him,0.031149375072950545
cat__Question_... if she argues with him,0.02038406994343816
cat__Demographics Response_Rural,0.017531081525036248
cat__Demographics Response_Higher,0.01407790085386882
cat__Demographics Response_Urban,0.01076676025402312
cat__Demographics Response_Secondary,0.00860005669867758
cat__Demographics Question_Education,0.006730778281854917
cat__Demographics Question_Residence,0.005968452597662946
cat__Demographics Question_Employment,0.0044267832901931274
cat__Demographics Response_Primary,0.004107981945646548
cat__Demographics Question_Marital status,0.004049104515798916
cat__Demographics Question_Age,0.0017520842640619861
cat__Demographics Response_Unemployed,0.0012625065885735279
cat__Demographics Response_Married or living together,0.0010831310368086362
cat__Demographics Response_35-49,0.0009876385208622293
cat__Demographics Response_15-24,0.0009729039187984979
cat__Demographics Response_Employed for cash,0.0004543650942867351
cat__Demographics Response_Never married,0.00042200382976196644
cat__Demographics Response_25-34,0.000363117910614354
num__SurveyYear,0.0
