feature,importance
cat__Question_... for at least one specific reason,0.1905838061434171
cat__Gender_M,0.18382495534331433
cat__Gender_F,0.16487133073110638
cat__Demographics Response_Higher,0.1308732402249382
cat__Question_... if she neglects the children,0.10286302222702484
cat__Question_... if she burns the food,0.08916307707111039
cat__Question_... if she argues with him,0.03808520607181527
cat__Demographics Response_Urban,0.019999862455443027
cat__Question_... if she goes out without telling him,0.015466434237475488
"cat__Demographics Response_Widowed, divorced, separated",0.014785543596226235
cat__Demographics Response_Unemployed,0.010201655431702959
cat__Demographics Response_Secondary,0.007230730194993248
cat__Question_... if she refuses to have sex with him,0.006149970155209252
cat__Demographics Question_Residence,0.004352859464793629
cat__Demographics Question_Marital status,0.0030579774844903627
cat__Demographics Question_Education,0.0027711804594627485
cat__Demographics Response_35-49,0.0026177867521887687
cat__Demographics Question_Employment,0.0021195808436925982
cat__Demographics Response_15-24,0.002040083479939062
cat__Demographics Response_Married or living together,0.0017588204389123326
cat__Demographics Question_Age,0.0016529417936776436
cat__Demographics Response_No education,0.001450414602251816
cat__Demographics Response_Never married,0.0013934616531318597
cat__Demographics Response_25-34,0.0007393880521485628
cat__Demographics Response_Rural,0.0006167170405978521
cat__Demographics Response_Primary,0.0004749475292193168
cat__Demographics Response_Employed for cash,0.0004376373002976698
cat__Demographics Response_Employed for kind,0.0004173692214191423
num__SurveyYear,0.0
