feature,importance
cat__Gender_F,0.2867020952305836
cat__Question_... for at least one specific reason,0.21617726674666807
cat__Gender_M,0.19258849589302082
cat__Question_... if she burns the food,0.04853140354594003
cat__Question_... if she neglects the children,0.04668434660715167
cat__Demographics Response_Higher,0.04349703805069782
cat__Question_... if she goes out without telling him,0.041313900712490956
cat__Question_... if she argues with him,0.02737498664514276
cat__Question_... if she refuses to have sex with him,0.02715094717744538
cat__Demographics Response_Urban,0.011649875927309894
cat__Demographics Response_Employed for kind,0.008794097847080457
cat__Demographics Response_35-49,0.006611788011703036
cat__Demographics Response_15-24,0.0060682024243088
cat__Demographics Response_Never married,0.00465435400012322
cat__Demographics Response_Married or living together,0.004553773575087297
cat__Demographics Question_Education,0.003880636896131734
cat__Demographics Question_Age,0.0034209767249387033
cat__Demographics Question_Residence,0.0030115019259783125
cat__Demographics Response_25-34,0.0025879638837525477
"cat__Demographics Response_Widowed, divorced, separated",0.0023587573095565878
cat__Demographics Response_Rural,0.002065668193213196
cat__Demographics Response_No education,0.0017078888751296166
cat__Demographics Question_Marital status,0.0016546697459043631
cat__Demographics Question_Employment,0.0016258795283130769
cat__Demographics Response_Primary,0.0015815854459594737
cat__Demographics Response_Employed for cash,0.001514393421844255
cat__Demographics Response_Unemployed,0.0014850762201860368
cat__Demographics Response_Secondary,0.0007524294343381017
num__SurveyYear,0.0
