feature,importance
cat__Question_... for at least one specific reason,0.37119093672130254
cat__Question_... if she burns the food,0.2596372361336986
cat__Gender_F,0.09076329928762512
cat__Demographics Response_Higher,0.08648638027972877
cat__Gender_M,0.06455633092068959
cat__Question_... if she refuses to have sex with him,0.055876781764692386
cat__Question_... if she argues with him,0.01952312071696568
cat__Question_... if she goes out without telling him,0.011161274904922667
cat__Demographics Response_35-49,0.0047613473714598975
cat__Demographics Response_Never married,0.004203123647931879
cat__Demographics Response_Urban,0.004014437344826074
cat__Demographics Response_Employed for kind,0.003985700260362817
cat__Demographics Question_Education,0.0030639290955618674
cat__Question_... if she neglects the children,0.0028855448180084196
cat__Demographics Response_15-24,0.002665012208862721
cat__Demographics Response_Unemployed,0.0024953684034988905
cat__Demographics Response_Married or living together,0.001506693362504539
cat__Demographics Response_Secondary,0.0014660999684720957
cat__Demographics Response_Primary,0.0013374890235499062
cat__Demographics Question_Age,0.0011915300096520703
cat__Demographics Question_Residence,0.0011340243748878067
cat__Demographics Response_No education,0.00111299761793434
cat__Demographics Question_Employment,0.0010704614159321544
"cat__Demographics Response_Widowed, divorced, separated",0.0009192054062439486
cat__Demographics Response_Rural,0.0009176760644255069
cat__Demographics Response_Employed for cash,0.0008593869713287356
cat__Demographics Question_Marital status,0.0008460610610345403
cat__Demographics Response_25-34,0.0003685508438963658
num__SurveyYear,0.0
