feature,importance
cat__Question_... for at least one specific reason,0.37778783338343297
cat__Question_... if she argues with him,0.10813458443376718
cat__Demographics Response_Higher,0.089387957054834
cat__Demographics Response_15-24,0.04172180945651819
cat__Question_... if she burns the food,0.039504063302899094
cat__Question_... if she neglects the children,0.039108409309956314
cat__Question_... if she refuses to have sex with him,0.03879806352988894
cat__Question_... if she goes out without telling him,0.0351526468287575
cat__Gender_F,0.027212755949424575
cat__Gender_M,0.025628839745401345
cat__Demographics Response_Primary,0.02010186239942766
cat__Demographics Response_Employed for kind,0.01643842591081455
cat__Demographics Response_Never married,0.016201737250112362
cat__Demographics Response_Urban,0.014761843796524014
cat__Demographics Question_Age,0.014221484987639907
cat__Demographics Response_35-49,0.012739709610154507
cat__Demographics Response_Married or living together,0.011303780887301764
cat__Demographics Response_No education,0.010606526459328398
cat__Demographics Question_Education,0.009543066155734737
cat__Demographics Response_Rural,0.008393747236345367
cat__Demographics Response_25-34,0.007882680049488397
"cat__Demographics Response_Widowed, divorced, separated",0.006701935260635445
cat__Demographics Response_Secondary,0.005699922829681474
cat__Demographics Question_Marital status,0.0052912638915048864
cat__Demographics Response_Unemployed,0.005062229678363554
cat__Demographics Question_Employment,0.004703022938634409
cat__Demographics Response_Employed for cash,0.004390529284440964
cat__Demographics Question_Residence,0.0035192683789874537
num__SurveyYear,0.0
