feature,importance
cat__Question_... for at least one specific reason,0.1976992432549803
cat__Gender_M,0.163597836415918
cat__Demographics Response_No education,0.1284078936375251
cat__Gender_F,0.11897515324657121
cat__Demographics Response_Higher,0.10955400041852331
cat__Question_... if she burns the food,0.07249415986965067
cat__Question_... if she neglects the children,0.05480872678850593
cat__Demographics Response_Employed for kind,0.021638968035470364
cat__Demographics Response_Rural,0.020307806797462125
cat__Question_... if she refuses to have sex with him,0.01806398252037731
cat__Question_... if she goes out without telling him,0.011166638461613787
cat__Demographics Question_Education,0.010526169127245964
cat__Demographics Response_Primary,0.009179957454692605
cat__Demographics Response_Urban,0.00791633139973457
cat__Demographics Response_15-24,0.007516327005773156
cat__Demographics Question_Residence,0.006370591929334904
cat__Question_... if she argues with him,0.005688027972620955
cat__Demographics Response_Secondary,0.005035157568194025
cat__Demographics Response_Married or living together,0.0043161208901181854
"cat__Demographics Response_Widowed, divorced, separated",0.0042880354337253394
cat__Demographics Question_Marital status,0.003954106308070234
cat__Demographics Response_Never married,0.003804722077784965
cat__Demographics Question_Employment,0.0033246175419221567
cat__Demographics Question_Age,0.003162545535391876
cat__Demographics Response_25-34,0.002562392557960112
cat__Demographics Response_35-49,0.002269833056696968
cat__Demographics Response_Employed for cash,0.0017275068612337954
cat__Demographics Response_Unemployed,0.0016431478329019661
num__SurveyYear,0.0
