feature,importance
cat__Question_... for at least one specific reason,0.2990147315133172
cat__Question_... if she neglects the children,0.09773192603301639
cat__Question_... if she burns the food,0.08501412044398785
cat__Question_... if she refuses to have sex with him,0.08069450599682125
cat__Demographics Response_Employed for kind,0.06953534737274857
cat__Demographics Response_Higher,0.05943178718470109
cat__Demographics Response_Primary,0.039084566254925464
cat__Gender_M,0.03247992973802121
cat__Demographics Response_No education,0.0308999988991083
cat__Question_... if she goes out without telling him,0.029202872392523838
cat__Gender_F,0.028827333137108162
cat__Question_... if she argues with him,0.02426201544821715
cat__Demographics Response_Urban,0.022225095159200483
cat__Demographics Question_Employment,0.01617951931017962
cat__Demographics Question_Education,0.015997773226317666
cat__Demographics Response_Employed for cash,0.00937308465506891
cat__Demographics Question_Residence,0.008574627328469663
cat__Demographics Response_Rural,0.007200013543214492
cat__Demographics Response_Secondary,0.006558442864683545
cat__Demographics Question_Age,0.006263667651342886
cat__Demographics Question_Marital status,0.005961418179437463
cat__Demographics Response_15-24,0.004413713845499991
cat__Demographics Response_Unemployed,0.004315389936578254
cat__Demographics Response_Married or living together,0.00392700926966539
cat__Demographics Response_Never married,0.003682816088044806
"cat__Demographics Response_Widowed, divorced, separated",0.003559109605934679
cat__Demographics Response_25-34,0.0032108999265660285
cat__Demographics Response_35-49,0.0023782849952996826
num__SurveyYear,0.0
