feature,importance
cat__Question_... for at least one specific reason,0.24112087912655322
cat__Question_... if she neglects the children,0.15326002504873887
cat__Question_... if she goes out without telling him,0.14051342529155705
cat__Gender_F,0.10964556739249881
cat__Gender_M,0.10336230581210934
cat__Question_... if she burns the food,0.06934794903457489
cat__Question_... if she argues with him,0.05119314233801596
cat__Question_... if she refuses to have sex with him,0.05043698338439194
cat__Demographics Response_Unemployed,0.019911408664408846
cat__Demographics Response_Higher,0.013107581740396832
cat__Demographics Response_15-24,0.00916095855541411
cat__Demographics Response_No education,0.005185899618378065
cat__Demographics Response_Urban,0.004364729978007018
cat__Demographics Question_Education,0.004206292960359618
cat__Demographics Question_Employment,0.004043912885720416
cat__Demographics Response_Rural,0.003318151611930678
cat__Demographics Response_Employed for kind,0.002748612849252295
cat__Demographics Question_Age,0.002213434859482355
cat__Demographics Question_Residence,0.0019558756974017394
cat__Demographics Response_35-49,0.0018888471334527531
cat__Demographics Response_Never married,0.0018266376309574617
cat__Demographics Response_Secondary,0.0016563706238242463
cat__Demographics Response_Employed for cash,0.0013437525318942306
"cat__Demographics Response_Widowed, divorced, separated",0.0012127664127459243
cat__Demographics Question_Marital status,0.0009143283506736152
cat__Demographics Response_Primary,0.0007685394677369256
cat__Demographics Response_Married or living together,0.0007553146813814375
cat__Demographics Response_25-34,0.0005363063181415523
num__SurveyYear,0.0
