feature,importance
cat__Question_... for at least one specific reason,0.2793734363099255
cat__Question_... if she neglects the children,0.13711324129649222
cat__Question_... if she goes out without telling him,0.09383436185393358
cat__Question_... if she refuses to have sex with him,0.09374142515937223
cat__Question_... if she burns the food,0.09362633391161551
cat__Question_... if she argues with him,0.07969197433401266
cat__Gender_M,0.05768923575835219
cat__Gender_F,0.05168580788899472
cat__Demographics Response_Employed for kind,0.0314090578478687
"cat__Demographics Response_Widowed, divorced, separated",0.016022180692189636
cat__Demographics Response_Urban,0.008888182178988268
cat__Demographics Response_Primary,0.007900869126756955
cat__Demographics Question_Marital status,0.0067381918676367334
cat__Demographics Response_15-24,0.005588590348086426
cat__Demographics Response_Higher,0.005450777716455254
cat__Demographics Response_Employed for cash,0.004707166329462571
cat__Demographics Response_Never married,0.004446588972864425
cat__Demographics Question_Employment,0.0038564876831455844
cat__Demographics Response_Unemployed,0.003176315070277803
cat__Demographics Question_Education,0.0023368034667769957
cat__Demographics Response_25-34,0.0023219847319306992
cat__Demographics Response_Married or living together,0.002285387418465431
cat__Demographics Question_Age,0.0022612671190736545
cat__Demographics Question_Residence,0.0020117562985058923
cat__Demographics Response_Secondary,0.001576675111711469
cat__Demographics Response_Rural,0.0013952942905757345
cat__Demographics Response_35-49,0.0008706072165293689
num__SurveyYear,0.0
