feature,importance
cat__Question_... for at least one specific reason,0.41463854462015387
cat__Question_... if she neglects the children,0.3373378984630015
cat__Question_... if she goes out without telling him,0.14296008788348813
cat__Demographics Response_Higher,0.06348094000500391
cat__Gender_F,0.00599078658639521
cat__Gender_M,0.004720967044631197
cat__Demographics Response_35-49,0.004318831545530845
cat__Demographics Response_Employed for kind,0.0034142164370498966
cat__Demographics Response_Urban,0.0027863745599531107
cat__Question_... if she refuses to have sex with him,0.0027486223826284194
cat__Demographics Response_Employed for cash,0.002051814258166737
cat__Demographics Response_15-24,0.001957685545439218
cat__Demographics Response_Secondary,0.0016511807685708072
cat__Question_... if she burns the food,0.0014379341162813212
cat__Demographics Response_No education,0.0014269104774539286
cat__Demographics Question_Employment,0.0012085685038124567
"cat__Demographics Response_Widowed, divorced, separated",0.001200599062937425
cat__Question_... if she argues with him,0.0010722445066244685
cat__Demographics Response_Never married,0.000949916619312329
cat__Demographics Response_Unemployed,0.000748487247794611
cat__Demographics Question_Residence,0.0006349544533193776
cat__Demographics Question_Marital status,0.0006212950263034057
cat__Demographics Question_Education,0.0005888835362376928
cat__Demographics Response_Primary,0.0005786294309296473
cat__Demographics Response_25-34,0.0004361410131053899
cat__Demographics Response_Married or living together,0.0004354773957977483
cat__Demographics Question_Age,0.0003501672978548307
cat__Demographics Response_Rural,0.00025184121222238186
num__SurveyYear,0.0
