feature,importance
cat__Question_... for at least one specific reason,0.38880736024299156
cat__Question_... if she neglects the children,0.30582139793447566
cat__Demographics Response_Higher,0.06478938834644052
cat__Demographics Response_Primary,0.06472003879411396
"cat__Demographics Response_Widowed, divorced, separated",0.052058016701413495
cat__Demographics Response_Employed for kind,0.023371428025493746
cat__Question_... if she goes out without telling him,0.01859634153831973
cat__Demographics Response_Urban,0.013321745358325799
cat__Gender_M,0.013000367323516983
cat__Question_... if she argues with him,0.01072534097147807
cat__Gender_F,0.009514198366743833
cat__Demographics Question_Marital status,0.004206355066129663
cat__Demographics Response_Rural,0.004004662178434726
cat__Demographics Question_Education,0.003987915873713105
cat__Question_... if she burns the food,0.0038161684794005297
cat__Demographics Response_25-34,0.0034788835341680075
cat__Question_... if she refuses to have sex with him,0.003416976806424231
cat__Demographics Question_Residence,0.003408804876987044
cat__Demographics Question_Employment,0.0017176225716155874
cat__Demographics Response_Employed for cash,0.0017004731750589338
cat__Demographics Question_Age,0.0012404343452113694
cat__Demographics Response_Never married,0.0012269401647694007
cat__Demographics Response_35-49,0.0007236255402043871
cat__Demographics Response_15-24,0.0006721105958932221
cat__Demographics Response_Unemployed,0.0006282932899814625
cat__Demographics Response_Secondary,0.000623846569077049
cat__Demographics Response_Married or living together,0.000421263329617951
num__SurveyYear,0.0
