feature,importance
cat__Question_... if she burns the food,0.2456064054341723
cat__Demographics Response_Higher,0.1707904536421043
cat__Question_... for at least one specific reason,0.12841116148560985
cat__Demographics Response_Employed for kind,0.11374051335027283
cat__Demographics Response_Secondary,0.08603361731014965
cat__Demographics Response_Rural,0.07139263999828653
cat__Demographics Response_No education,0.045282405314015
cat__Demographics Response_Employed for cash,0.03182622687765081
cat__Demographics Response_Urban,0.0242487373237882
cat__Question_... if she refuses to have sex with him,0.018595264618346756
cat__Demographics Question_Residence,0.015312902585243192
cat__Demographics Response_Never married,0.011327911704275119
cat__Demographics Question_Education,0.0074068674854470265
cat__Demographics Question_Employment,0.004952308187177094
cat__Question_... if she argues with him,0.004907253987362357
cat__Demographics Question_Marital status,0.0043076984596804695
cat__Demographics Question_Age,0.0027869775451655715
"cat__Demographics Response_Widowed, divorced, separated",0.002773719500228796
cat__Demographics Response_Married or living together,0.002245439904576929
cat__Question_... if she neglects the children,0.0020898856838899877
cat__Question_... if she goes out without telling him,0.0012662329586242015
cat__Demographics Response_35-49,0.0010598334239064373
cat__Demographics Response_25-34,0.0010148242527010132
cat__Demographics Response_Primary,0.0009600428303308453
cat__Demographics Response_15-24,0.0009184702259711175
cat__Demographics Response_Unemployed,0.0007422059110236745
cat__Gender_F,0.0
num__SurveyYear,0.0
