feature,importance
cat__Question_... for at least one specific reason,0.4341420663718636
cat__Question_... if she burns the food,0.1127271880636379
cat__Demographics Response_Higher,0.09639056881704458
cat__Gender_F,0.04039620822727679
cat__Gender_M,0.04003784733353553
cat__Question_... if she neglects the children,0.0368505728654685
cat__Question_... if she refuses to have sex with him,0.029443299162945497
cat__Demographics Question_Education,0.026794699388043172
cat__Question_... if she argues with him,0.026197196180066277
cat__Question_... if she goes out without telling him,0.02356660609778754
cat__Demographics Response_Primary,0.019962239529107327
cat__Demographics Response_Secondary,0.013633366735275517
cat__Demographics Response_15-24,0.010897787332790322
cat__Demographics Response_No education,0.010637883862013508
cat__Demographics Response_Employed for kind,0.010359773326991914
cat__Demographics Question_Employment,0.008792042531593044
cat__Demographics Response_Unemployed,0.006763842921864634
"cat__Demographics Response_Widowed, divorced, separated",0.0065971323028412
cat__Demographics Question_Marital status,0.00595538668602454
cat__Demographics Response_Urban,0.005211420427731762
cat__Demographics Response_35-49,0.00506813915162327
cat__Demographics Question_Age,0.0050633200932088925
cat__Demographics Response_Rural,0.004952582505546142
cat__Demographics Response_Never married,0.004675894556410082
cat__Demographics Response_Employed for cash,0.0042771473826522235
cat__Demographics Question_Residence,0.003884741243311575
cat__Demographics Response_25-34,0.0037986645095754194
cat__Demographics Response_Married or living together,0.002922382393769388
num__SurveyYear,0.0
