feature,importance
cat__Question_... for at least one specific reason,0.46524042290159956
cat__Question_... if she neglects the children,0.39180007649181897
cat__Question_... if she goes out without telling him,0.030381838733041237
cat__Question_... if she argues with him,0.02720585189563003
cat__Question_... if she refuses to have sex with him,0.019054174501786095
cat__Question_... if she burns the food,0.017708774682797274
cat__Gender_F,0.014773613735924444
cat__Gender_M,0.014229803697171882
cat__Demographics Question_Marital status,0.00991763468443016
cat__Demographics Question_Education,0.004758981435944768
cat__Demographics Response_Higher,0.0016184013138635556
"cat__Demographics Response_Widowed, divorced, separated",0.0012149838327788712
cat__Demographics Question_Age,0.0011816398913032406
cat__Demographics Question_Employment,0.0006079463932316711
cat__Demographics Response_Never married,0.0001393470633755437
cat__Demographics Question_Residence,0.00010765839134766847
cat__Demographics Response_Rural,3.240259337069333e-05
cat__Demographics Response_Urban,1.2823597651364083e-05
cat__Demographics Response_Secondary,6.854345033925226e-06
cat__Demographics Response_25-34,6.055008873310546e-06
cat__Demographics Response_35-49,6.712668642388082e-07
cat__Demographics Response_Unemployed,4.3542161578540565e-08
cat__Demographics Response_No education,0.0
cat__Demographics Response_Primary,0.0
cat__Demographics Response_Married or living together,0.0
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Employed for cash,0.0
cat__Demographics Response_15-24,0.0
num__SurveyYear,0.0
