feature,importance
cat__Question_... if she burns the food,0.227329669079546
cat__Gender_F,0.21847429529892104
cat__Question_... if she refuses to have sex with him,0.17650560427999018
cat__Gender_M,0.14718294882178737
cat__Question_... for at least one specific reason,0.07774900863599672
cat__Demographics Response_Higher,0.0750973959182307
cat__Question_... if she argues with him,0.012166811309429575
cat__Demographics Response_Unemployed,0.009193254898964318
cat__Demographics Response_Employed for kind,0.007084995059374991
cat__Demographics Response_Never married,0.006991824079113631
cat__Demographics Response_Urban,0.00637288845954201
cat__Demographics Response_Secondary,0.006292071273705705
cat__Demographics Response_No education,0.005069568966047995
cat__Question_... if she goes out without telling him,0.0032833101281926676
cat__Question_... if she neglects the children,0.0023890521194156918
cat__Demographics Response_Rural,0.002166215426164468
cat__Demographics Question_Age,0.002115096524549932
cat__Demographics Question_Education,0.0020329404047652153
"cat__Demographics Response_Widowed, divorced, separated",0.0019507794590504768
cat__Demographics Question_Employment,0.0013444248918492428
cat__Demographics Response_25-34,0.0013393710346092916
cat__Demographics Response_15-24,0.001298139354343635
cat__Demographics Question_Marital status,0.0012181332411768159
cat__Demographics Response_Married or living together,0.0011816824295686327
cat__Demographics Response_Primary,0.0011730478757351426
cat__Demographics Response_Employed for cash,0.0011728450854646096
cat__Demographics Question_Residence,0.0010958744571309517
cat__Demographics Response_35-49,0.0007287514873330229
num__SurveyYear,0.0
