feature,importance
cat__Question_... if she refuses to have sex with him,0.2842661881788475
cat__Question_... if she burns the food,0.23456419305946058
cat__Question_... for at least one specific reason,0.20112008442914908
cat__Demographics Response_Never married,0.10595943366265723
cat__Demographics Response_Higher,0.028577770663404542
cat__Demographics Response_No education,0.021888476767775174
cat__Demographics Response_Urban,0.01870662780258483
cat__Demographics Response_15-24,0.01309698023118196
cat__Question_... if she argues with him,0.01285621883480527
cat__Demographics Question_Education,0.012314834177043883
cat__Demographics Response_Employed for cash,0.010047349011013364
cat__Question_... if she goes out without telling him,0.008239150648159626
"cat__Demographics Response_Widowed, divorced, separated",0.008167551955660716
cat__Question_... if she neglects the children,0.006370401736190744
cat__Demographics Question_Marital status,0.005953584738747628
cat__Demographics Response_25-34,0.005862619878235382
cat__Demographics Question_Employment,0.004339074952176963
cat__Demographics Response_Married or living together,0.003967094714564505
cat__Demographics Response_Primary,0.0024455747100593796
cat__Demographics Question_Residence,0.0022164901336798695
cat__Demographics Response_Employed for kind,0.002077557872507872
cat__Demographics Response_Rural,0.0016675278308969262
cat__Demographics Response_35-49,0.0016520751805134883
cat__Demographics Response_Unemployed,0.0013067580156221215
cat__Demographics Question_Age,0.0012496525600108252
cat__Demographics Response_Secondary,0.001086728255050585
cat__Gender_F,0.0
num__SurveyYear,0.0
