feature,importance
cat__Question_... for at least one specific reason,0.3543524746611856
cat__Question_... if she burns the food,0.18519668023820865
cat__Question_... if she refuses to have sex with him,0.1136554990172563
cat__Question_... if she neglects the children,0.09495082094140236
cat__Demographics Response_Higher,0.0758821587896425
cat__Gender_M,0.04220370329761536
cat__Gender_F,0.03355907983238012
cat__Question_... if she argues with him,0.018492053890732146
cat__Question_... if she goes out without telling him,0.015485410347156975
cat__Demographics Question_Education,0.013754406646260575
cat__Demographics Question_Employment,0.00803557018347573
cat__Demographics Question_Age,0.00536190307458377
cat__Demographics Response_Urban,0.004803773615221458
cat__Demographics Question_Marital status,0.00468719797730503
cat__Demographics Response_Employed for kind,0.0046608175114410105
cat__Demographics Response_Primary,0.004328241238445151
cat__Demographics Response_15-24,0.0031635574500202173
cat__Demographics Response_No education,0.0031141360058722215
cat__Demographics Response_Unemployed,0.0031050483213921985
cat__Demographics Question_Residence,0.00289200978683398
cat__Demographics Response_Secondary,0.0020828773912946828
cat__Demographics Response_Never married,0.0012230483843726583
cat__Demographics Response_25-34,0.0011112237842595258
cat__Demographics Response_Rural,0.0010913774403144038
"cat__Demographics Response_Widowed, divorced, separated",0.001002143552273248
cat__Demographics Response_35-49,0.0009677308011792828
cat__Demographics Response_Married or living together,0.0005266489734324711
cat__Demographics Response_Employed for cash,0.0003104068464423663
num__SurveyYear,0.0
