feature,importance
cat__Question_... for at least one specific reason,0.21137346
cat__Demographics Response_Higher,0.18783115
cat__Demographics Response_No education,0.07931399
cat__Demographics Response_Rural,0.07228315
cat__Gender_M,0.05916546
cat__Demographics Response_Secondary,0.04592456
"cat__Demographics Response_Widowed, divorced, separated",0.036089692
cat__Question_... if she refuses to have sex with him,0.03161705
cat__Demographics Response_Urban,0.029060656
cat__Demographics Response_Primary,0.028133743
cat__Question_... if she burns the food,0.027323365
cat__Gender_F,0.027158264
cat__Question_... if she neglects the children,0.024592811
cat__Demographics Question_Education,0.019494422
cat__Demographics Response_Unemployed,0.017957889
cat__Demographics Response_Never married,0.014324813
cat__Demographics Response_Employed for kind,0.013811583
cat__Demographics Question_Residence,0.011049531
cat__Demographics Response_25-34,0.010970026
cat__Demographics Response_35-49,0.008939548
cat__Demographics Question_Age,0.008366819
cat__Demographics Question_Marital status,0.007866588
cat__Question_... if she argues with him,0.007685464
cat__Demographics Question_Employment,0.006185231
cat__Demographics Response_Married or living together,0.0044974606
cat__Question_... if she goes out without telling him,0.0038090616
cat__Demographics Response_15-24,0.003371409
cat__Demographics Response_Employed for cash,0.0018027857
num__SurveyYear,0.0
