feature,importance
cat__Question_... if she refuses to have sex with him,0.22094548
cat__Question_... if she burns the food,0.17565194
cat__Question_... for at least one specific reason,0.07034041
cat__Demographics Response_Higher,0.06800471
cat__Demographics Question_Education,0.046280406
cat__Demographics Response_No education,0.043327425
cat__Demographics Response_Employed for kind,0.03536416
cat__Question_... if she argues with him,0.03311352
"cat__Demographics Response_Widowed, divorced, separated",0.03179943
cat__Demographics Response_Urban,0.03149707
cat__Demographics Response_Primary,0.028283589
cat__Question_... if she neglects the children,0.021491162
cat__Demographics Response_Employed for cash,0.021138227
cat__Gender_F,0.019416608
cat__Demographics Response_Rural,0.01819668
cat__Demographics Response_Never married,0.017494125
cat__Demographics Question_Age,0.015781958
cat__Demographics Question_Marital status,0.013467272
cat__Question_... if she goes out without telling him,0.013038936
cat__Demographics Response_35-49,0.012645632
cat__Demographics Response_15-24,0.011366662
cat__Demographics Response_Married or living together,0.011351352
cat__Demographics Response_Unemployed,0.010768423
cat__Demographics Response_Secondary,0.010199685
cat__Demographics Question_Employment,0.00934725
cat__Demographics Response_25-34,0.0048969034
cat__Demographics Question_Residence,0.004790974
cat__Gender_M,0.0
num__SurveyYear,0.0
