feature,importance
cat__Demographics Response_Higher,0.3387154
cat__Question_... for at least one specific reason,0.18484269
cat__Gender_F,0.073961675
cat__Question_... if she refuses to have sex with him,0.050061442
cat__Demographics Response_Secondary,0.039794236
cat__Demographics Response_No education,0.033730656
cat__Demographics Response_Urban,0.029546162
cat__Question_... if she burns the food,0.026059104
cat__Demographics Response_Never married,0.022351857
cat__Demographics Response_35-49,0.021469383
cat__Demographics Response_Rural,0.020304611
cat__Demographics Response_Employed for kind,0.019743852
cat__Demographics Question_Employment,0.01548561
cat__Demographics Response_Primary,0.015334525
cat__Demographics Question_Education,0.014023553
cat__Demographics Response_Unemployed,0.013786316
cat__Demographics Response_Married or living together,0.013034358
cat__Demographics Response_15-24,0.010037603
cat__Demographics Question_Residence,0.0099992985
cat__Demographics Question_Marital status,0.009480559
cat__Demographics Question_Age,0.007663486
"cat__Demographics Response_Widowed, divorced, separated",0.007614008
cat__Demographics Response_25-34,0.006289737
cat__Question_... if she neglects the children,0.005413895
cat__Demographics Response_Employed for cash,0.004871284
cat__Question_... if she goes out without telling him,0.0033311837
cat__Question_... if she argues with him,0.0030536389
cat__Gender_M,0.0
num__SurveyYear,0.0
