feature,importance
cat__Question_... if she refuses to have sex with him,0.2055729
cat__Question_... for at least one specific reason,0.15264392
cat__Question_... if she burns the food,0.12466051
cat__Question_... if she argues with him,0.09565989
cat__Demographics Response_Higher,0.083751954
cat__Question_... if she goes out without telling him,0.066820666
cat__Demographics Response_No education,0.048886623
cat__Demographics Response_Secondary,0.023807855
cat__Demographics Response_Urban,0.023093898
cat__Question_... if she neglects the children,0.0209566
cat__Demographics Question_Age,0.01982264
cat__Demographics Response_Unemployed,0.018597497
cat__Demographics Question_Marital status,0.015633568
cat__Demographics Response_Rural,0.012580763
cat__Demographics Response_Employed for kind,0.011844388
cat__Demographics Response_Never married,0.009963332
cat__Demographics Question_Education,0.009934875
cat__Demographics Response_15-24,0.009816573
cat__Demographics Response_25-34,0.009285022
cat__Demographics Response_Employed for cash,0.007438902
"cat__Demographics Response_Widowed, divorced, separated",0.0064196573
cat__Demographics Response_Primary,0.005716811
cat__Demographics Question_Employment,0.0053556804
cat__Demographics Question_Residence,0.0051201084
cat__Demographics Response_35-49,0.0042876466
cat__Demographics Response_Married or living together,0.0023277146
cat__Gender_F,0.0
num__SurveyYear,0.0
