feature,importance
cat__Demographics Response_Higher,0.24743277
cat__Question_... for at least one specific reason,0.15583609
cat__Question_... if she burns the food,0.12792653
cat__Question_... if she refuses to have sex with him,0.063570604
cat__Demographics Response_Urban,0.058023814
cat__Demographics Response_Secondary,0.04848796
cat__Gender_F,0.031131005
cat__Demographics Response_Never married,0.027300851
cat__Demographics Response_Unemployed,0.025093999
"cat__Demographics Response_Widowed, divorced, separated",0.022786492
cat__Demographics Response_Employed for cash,0.020578152
cat__Demographics Response_Primary,0.018339947
cat__Demographics Response_Rural,0.017438052
cat__Demographics Question_Marital status,0.015068889
cat__Demographics Question_Education,0.014523462
cat__Demographics Question_Residence,0.014189668
cat__Demographics Response_No education,0.013462363
cat__Demographics Response_Married or living together,0.01216556
cat__Demographics Response_Employed for kind,0.011792201
cat__Demographics Response_35-49,0.011251074
cat__Demographics Question_Age,0.009226291
cat__Demographics Question_Employment,0.00837365
cat__Demographics Response_25-34,0.008370928
cat__Demographics Response_15-24,0.0070678876
cat__Question_... if she goes out without telling him,0.0048447736
cat__Question_... if she neglects the children,0.0031417792
cat__Question_... if she argues with him,0.00257526
cat__Gender_M,0.0
num__SurveyYear,0.0
