feature,importance
cat__Demographics Response_No education,0.18895234
cat__Question_... for at least one specific reason,0.17693666
cat__Question_... if she neglects the children,0.08691696
cat__Demographics Response_Higher,0.06332594
cat__Demographics Question_Education,0.05969726
cat__Question_... if she burns the food,0.048607096
cat__Demographics Question_Age,0.04188621
cat__Question_... if she refuses to have sex with him,0.03276287
cat__Demographics Response_Employed for kind,0.030894676
cat__Question_... if she argues with him,0.030404495
cat__Demographics Response_Rural,0.029547159
cat__Demographics Response_Primary,0.02785571
cat__Demographics Response_Secondary,0.025901493
cat__Demographics Question_Marital status,0.025875632
cat__Question_... if she goes out without telling him,0.023368184
cat__Gender_F,0.018498
cat__Gender_M,0.018182907
cat__Demographics Response_Urban,0.014315153
cat__Demographics Question_Employment,0.013236429
cat__Demographics Question_Residence,0.012569017
cat__Demographics Response_25-34,0.007997837
cat__Demographics Response_Never married,0.0059601716
cat__Demographics Response_15-24,0.0038239195
cat__Demographics Response_Unemployed,0.0038147785
cat__Demographics Response_35-49,0.0036586325
cat__Demographics Response_Employed for cash,0.0031595589
"cat__Demographics Response_Widowed, divorced, separated",0.0018509087
cat__Demographics Response_Married or living together,0.0
num__SurveyYear,0.0
