feature,importance
cat__Demographics Response_Higher,0.2592534
cat__Question_... for at least one specific reason,0.2485569
cat__Question_... if she refuses to have sex with him,0.08210985
cat__Question_... if she burns the food,0.06233227
cat__Demographics Response_Secondary,0.03545795
cat__Demographics Response_35-49,0.033828773
cat__Demographics Response_Urban,0.029210199
"cat__Demographics Response_Widowed, divorced, separated",0.025691051
cat__Question_... if she goes out without telling him,0.019399978
cat__Demographics Response_Never married,0.018052487
cat__Demographics Response_Rural,0.017301254
cat__Demographics Response_No education,0.015944656
cat__Demographics Response_Married or living together,0.015730526
cat__Gender_F,0.015268525
cat__Demographics Response_Employed for kind,0.014186542
cat__Demographics Response_Unemployed,0.013346061
cat__Demographics Question_Marital status,0.012532872
cat__Demographics Question_Education,0.011441903
cat__Question_... if she neglects the children,0.011026707
cat__Demographics Response_15-24,0.010344515
cat__Demographics Question_Age,0.010042184
cat__Demographics Response_Employed for cash,0.009873883
cat__Demographics Question_Employment,0.006752471
cat__Question_... if she argues with him,0.006676387
cat__Demographics Response_Primary,0.005265197
cat__Demographics Question_Residence,0.005220368
cat__Demographics Response_25-34,0.0051531075
cat__Gender_M,0.0
num__SurveyYear,0.0
