feature,importance
cat__Question_... for at least one specific reason,0.25284943
cat__Demographics Response_Higher,0.11099212
cat__Question_... if she burns the food,0.08123999
cat__Question_... if she refuses to have sex with him,0.07905299
cat__Demographics Response_Urban,0.050925322
cat__Question_... if she argues with him,0.049744096
cat__Demographics Response_35-49,0.035757657
cat__Demographics Response_15-24,0.034382343
cat__Demographics Response_Married or living together,0.033113506
cat__Demographics Response_25-34,0.030662341
cat__Demographics Response_Primary,0.024503538
"cat__Demographics Response_Widowed, divorced, separated",0.022717128
cat__Demographics Response_Employed for cash,0.021862494
cat__Demographics Response_Employed for kind,0.018643703
cat__Demographics Question_Age,0.017943429
cat__Demographics Question_Marital status,0.01624532
cat__Demographics Response_No education,0.01621753
cat__Gender_F,0.015470082
cat__Demographics Response_Secondary,0.015341125
cat__Demographics Response_Never married,0.014714208
cat__Demographics Response_Rural,0.013337981
cat__Question_... if she goes out without telling him,0.011968576
cat__Demographics Question_Education,0.010036777
cat__Demographics Response_Unemployed,0.008170656
cat__Demographics Question_Employment,0.0076571396
cat__Demographics Question_Residence,0.0033998839
cat__Question_... if she neglects the children,0.0030506128
cat__Gender_M,0.0
num__SurveyYear,0.0
