feature,importance
cat__Gender_F,0.19619171
cat__Question_... for at least one specific reason,0.17997383
cat__Demographics Response_Higher,0.16371477
cat__Demographics Response_Urban,0.08993467
cat__Demographics Response_Secondary,0.0651238
cat__Question_... if she refuses to have sex with him,0.03984359
cat__Demographics Response_Employed for cash,0.03225779
cat__Demographics Response_Never married,0.027969118
cat__Demographics Response_No education,0.026703611
cat__Question_... if she burns the food,0.019245403
"cat__Demographics Response_Widowed, divorced, separated",0.018876186
cat__Demographics Response_Rural,0.014523754
cat__Question_... if she neglects the children,0.013876746
cat__Demographics Response_25-34,0.013505637
cat__Demographics Question_Education,0.012885211
cat__Demographics Response_Unemployed,0.010455978
cat__Demographics Response_Married or living together,0.010298117
cat__Demographics Response_15-24,0.010138111
cat__Demographics Response_Employed for kind,0.009380741
cat__Demographics Question_Age,0.009095502
cat__Demographics Question_Marital status,0.007914712
cat__Demographics Response_35-49,0.0073016863
cat__Demographics Question_Residence,0.0063281073
cat__Demographics Question_Employment,0.004610876
cat__Question_... if she argues with him,0.0044362233
cat__Demographics Response_Primary,0.0034320087
cat__Question_... if she goes out without telling him,0.0019820787
cat__Gender_M,0.0
num__SurveyYear,0.0
