feature,importance
cat__Question_... for at least one specific reason,0.16537985
cat__Question_... if she burns the food,0.16488753
cat__Demographics Response_Higher,0.16408518
cat__Demographics Response_Secondary,0.07026825
cat__Question_... if she refuses to have sex with him,0.062274456
cat__Gender_F,0.052236795
cat__Demographics Response_Urban,0.035809077
cat__Demographics Response_Rural,0.034535326
cat__Demographics Response_No education,0.028433068
cat__Demographics Response_Never married,0.027632993
cat__Question_... if she argues with him,0.02698327
cat__Question_... if she neglects the children,0.02097701
"cat__Demographics Response_Widowed, divorced, separated",0.01869123
cat__Demographics Question_Education,0.014562866
cat__Demographics Response_Married or living together,0.012613376
cat__Demographics Question_Residence,0.011891676
cat__Demographics Question_Marital status,0.010041267
cat__Demographics Response_Unemployed,0.00998026
cat__Demographics Response_15-24,0.009429832
cat__Demographics Response_35-49,0.0091723045
cat__Demographics Response_Employed for cash,0.008541084
cat__Demographics Response_Employed for kind,0.008276139
cat__Demographics Question_Age,0.0073781656
cat__Demographics Response_25-34,0.0067425645
cat__Demographics Response_Primary,0.0065539
cat__Question_... if she goes out without telling him,0.0063610827
cat__Demographics Question_Employment,0.006261347
cat__Gender_M,0.0
num__SurveyYear,0.0
