feature,importance
cat__Question_... for at least one specific reason,0.3428083
cat__Question_... if she refuses to have sex with him,0.11963224
cat__Gender_M,0.09551678
cat__Question_... if she burns the food,0.08709155
cat__Gender_F,0.049198776
cat__Question_... if she neglects the children,0.047009148
cat__Demographics Response_Higher,0.046284515
cat__Demographics Response_No education,0.040246528
cat__Question_... if she argues with him,0.022253785
cat__Demographics Response_Employed for kind,0.020535942
cat__Demographics Response_Urban,0.019711863
"cat__Demographics Response_Widowed, divorced, separated",0.01892994
cat__Demographics Response_Never married,0.011643244
cat__Demographics Response_Unemployed,0.008101248
cat__Demographics Question_Employment,0.007982314
cat__Demographics Response_Primary,0.007882594
cat__Demographics Response_15-24,0.0074822195
cat__Demographics Response_Rural,0.006970434
cat__Demographics Question_Education,0.00622762
cat__Demographics Response_Employed for cash,0.0057013915
cat__Demographics Response_Secondary,0.0054642404
cat__Demographics Question_Residence,0.0040821773
cat__Demographics Question_Age,0.0040681395
cat__Demographics Response_35-49,0.0037555795
cat__Demographics Response_25-34,0.0034903213
cat__Question_... if she goes out without telling him,0.0029005501
cat__Demographics Response_Married or living together,0.002827525
cat__Demographics Question_Marital status,0.00220098
num__SurveyYear,0.0
