feature,importance
cat__Question_... if she burns the food,0.22990805
cat__Question_... if she refuses to have sex with him,0.21540304
cat__Question_... for at least one specific reason,0.19185145
cat__Question_... if she neglects the children,0.10485643
cat__Question_... if she argues with him,0.0588431
cat__Demographics Response_Employed for kind,0.035433207
cat__Gender_F,0.018340198
"cat__Demographics Response_Widowed, divorced, separated",0.017294854
cat__Question_... if she goes out without telling him,0.016762828
cat__Demographics Response_Urban,0.014560486
cat__Demographics Response_Higher,0.014250088
cat__Demographics Response_Never married,0.012250755
cat__Gender_M,0.011919323
cat__Demographics Response_15-24,0.010590589
cat__Demographics Response_Employed for cash,0.008925565
cat__Demographics Question_Marital status,0.00660985
cat__Demographics Response_Primary,0.0064459
cat__Demographics Response_Unemployed,0.004849515
cat__Demographics Question_Age,0.003854655
cat__Demographics Response_Married or living together,0.0034593402
cat__Demographics Question_Education,0.0031912068
cat__Demographics Question_Employment,0.0025460008
cat__Demographics Response_25-34,0.0019768365
cat__Demographics Response_Secondary,0.0018425294
cat__Demographics Response_35-49,0.0015549938
cat__Demographics Question_Residence,0.001310065
cat__Demographics Response_Rural,0.0011692173
num__SurveyYear,0.0
