feature,importance
cat__Question_... for at least one specific reason,0.19537498
cat__Demographics Response_Higher,0.13120078
cat__Question_... if she refuses to have sex with him,0.07333141
cat__Demographics Response_Urban,0.06822034
cat__Demographics Response_No education,0.04051185
cat__Question_... if she burns the food,0.040281314
cat__Question_... if she neglects the children,0.036855854
cat__Demographics Question_Age,0.035362188
cat__Demographics Response_Secondary,0.035310037
cat__Demographics Response_Employed for kind,0.03239131
cat__Demographics Response_Employed for cash,0.031187402
cat__Gender_F,0.030544985
cat__Demographics Response_Primary,0.029186228
cat__Demographics Response_Married or living together,0.028740529
cat__Question_... if she argues with him,0.025461784
cat__Demographics Response_Never married,0.024319531
cat__Demographics Response_35-49,0.01907096
cat__Demographics Question_Marital status,0.017418817
cat__Demographics Response_Rural,0.016294472
cat__Demographics Response_25-34,0.013635999
"cat__Demographics Response_Widowed, divorced, separated",0.013244086
cat__Question_... if she goes out without telling him,0.012799815
cat__Demographics Question_Residence,0.012353728
cat__Demographics Question_Education,0.011962221
cat__Demographics Question_Employment,0.011747312
cat__Demographics Response_15-24,0.0075877365
cat__Demographics Response_Unemployed,0.005604344
cat__Gender_M,0.0
num__SurveyYear,0.0
