feature,importance
cat__Question_... for at least one specific reason,0.2216883
cat__Demographics Response_Higher,0.15032735
cat__Demographics Response_Employed for kind,0.08674216
cat__Demographics Response_Urban,0.078886285
cat__Gender_F,0.06054637
cat__Question_... if she burns the food,0.046921723
cat__Demographics Response_Never married,0.04126668
cat__Question_... if she refuses to have sex with him,0.035057876
cat__Demographics Response_Secondary,0.0338912
cat__Demographics Response_Unemployed,0.03361065
cat__Demographics Response_No education,0.026696905
cat__Demographics Response_Rural,0.024186391
cat__Demographics Question_Age,0.01600859
cat__Demographics Question_Marital status,0.015656684
cat__Demographics Response_Employed for cash,0.015343934
cat__Demographics Response_35-49,0.014784233
cat__Demographics Question_Employment,0.013682074
cat__Demographics Question_Education,0.011260826
"cat__Demographics Response_Widowed, divorced, separated",0.011100869
cat__Demographics Response_Primary,0.011067094
cat__Demographics Question_Residence,0.010736361
cat__Question_... if she argues with him,0.010370248
cat__Demographics Response_Married or living together,0.0097777285
cat__Question_... if she neglects the children,0.0076983045
cat__Demographics Response_25-34,0.004830647
cat__Question_... if she goes out without telling him,0.0044366354
cat__Demographics Response_15-24,0.003423829
cat__Gender_M,0.0
num__SurveyYear,0.0
