feature,importance
cat__Question_... for at least one specific reason,0.21669546
cat__Question_... if she burns the food,0.13195163
cat__Question_... if she refuses to have sex with him,0.1309454
cat__Question_... if she argues with him,0.12941639
cat__Demographics Question_Education,0.06756405
cat__Demographics Response_Higher,0.06296714
cat__Question_... if she neglects the children,0.036272675
cat__Demographics Response_Urban,0.031473365
cat__Question_... if she goes out without telling him,0.027250618
cat__Demographics Response_Employed for cash,0.025271421
cat__Demographics Response_Secondary,0.016820345
cat__Demographics Response_Primary,0.015837695
cat__Demographics Question_Age,0.013953803
cat__Demographics Response_No education,0.012032014
cat__Demographics Response_Employed for kind,0.010499391
cat__Demographics Question_Marital status,0.009965848
cat__Demographics Question_Residence,0.009465745
cat__Demographics Response_Unemployed,0.008459203
cat__Demographics Question_Employment,0.0074827974
cat__Demographics Response_Never married,0.007359536
cat__Demographics Response_35-49,0.0060845404
cat__Demographics Response_Married or living together,0.0056326278
"cat__Demographics Response_Widowed, divorced, separated",0.005002359
cat__Demographics Response_15-24,0.0048456746
cat__Demographics Response_Rural,0.0046441657
cat__Demographics Response_25-34,0.0021061967
cat__Gender_F,0.0
num__SurveyYear,0.0
