feature,importance
cat__Question_... for at least one specific reason,0.22658138
cat__Gender_F,0.18533027
cat__Demographics Response_Higher,0.16966188
cat__Question_... if she burns the food,0.11923691
cat__Demographics Response_Urban,0.06292697
cat__Question_... if she neglects the children,0.03368548
cat__Demographics Response_Unemployed,0.023617607
cat__Demographics Response_35-49,0.020970365
cat__Demographics Question_Residence,0.019435897
cat__Question_... if she argues with him,0.017899282
cat__Demographics Response_Secondary,0.014827198
cat__Demographics Response_Married or living together,0.011718139
cat__Demographics Response_25-34,0.011307809
"cat__Demographics Response_Widowed, divorced, separated",0.011092159
cat__Question_... if she goes out without telling him,0.010078965
cat__Demographics Response_No education,0.009558062
cat__Demographics Response_Employed for kind,0.007555051
cat__Question_... if she refuses to have sex with him,0.0073653595
cat__Demographics Question_Education,0.0060509476
cat__Demographics Question_Employment,0.0056633647
cat__Demographics Response_15-24,0.005570571
cat__Demographics Response_Rural,0.0040739807
cat__Demographics Response_Employed for cash,0.0037989235
cat__Demographics Question_Age,0.0036844555
cat__Demographics Question_Marital status,0.0032562457
cat__Demographics Response_Primary,0.0028285196
cat__Demographics Response_Never married,0.0022242693
cat__Gender_M,0.0
num__SurveyYear,0.0
