feature,importance
cat__Question_... if she refuses to have sex with him,0.20970948
cat__Demographics Response_Never married,0.16812406
cat__Question_... if she burns the food,0.10594847
cat__Question_... for at least one specific reason,0.10564016
cat__Demographics Response_Higher,0.10428903
cat__Demographics Response_Urban,0.05885155
cat__Demographics Response_15-24,0.03297559
cat__Demographics Response_Employed for cash,0.032341473
cat__Demographics Question_Education,0.026476879
cat__Demographics Question_Employment,0.023672907
cat__Demographics Response_No education,0.020574229
cat__Demographics Question_Marital status,0.017856605
"cat__Demographics Response_Widowed, divorced, separated",0.013962515
cat__Demographics Response_Married or living together,0.012455837
cat__Demographics Response_25-34,0.011361549
cat__Demographics Question_Residence,0.009721972
cat__Demographics Response_Secondary,0.007858469
cat__Demographics Response_Employed for kind,0.007638038
cat__Demographics Response_Unemployed,0.006458085
cat__Demographics Response_Primary,0.006121893
cat__Question_... if she argues with him,0.004382521
cat__Demographics Response_35-49,0.003956593
cat__Question_... if she neglects the children,0.002914562
cat__Demographics Response_Rural,0.002607565
cat__Demographics Question_Age,0.0021458
cat__Question_... if she goes out without telling him,0.0019542424
cat__Gender_F,0.0
num__SurveyYear,0.0
