feature,importance
cat__Demographics Response_Higher,0.3791478
cat__Question_... if she burns the food,0.09382185
cat__Question_... for at least one specific reason,0.081581354
cat__Gender_F,0.062136017
cat__Question_... if she refuses to have sex with him,0.06064316
cat__Demographics Response_Secondary,0.054166846
cat__Demographics Response_Urban,0.047038905
cat__Question_... if she neglects the children,0.025434267
cat__Demographics Response_Employed for kind,0.025394486
cat__Demographics Response_Never married,0.02200926
cat__Demographics Response_25-34,0.01934904
cat__Demographics Response_Unemployed,0.01878979
cat__Demographics Response_No education,0.015017646
cat__Demographics Response_Employed for cash,0.012036102
cat__Question_... if she goes out without telling him,0.01040275
cat__Demographics Response_Rural,0.008997313
cat__Demographics Response_Married or living together,0.008888493
cat__Demographics Response_35-49,0.008829406
cat__Demographics Response_Primary,0.00759874
cat__Demographics Response_15-24,0.007361222
"cat__Demographics Response_Widowed, divorced, separated",0.0060810638
cat__Demographics Question_Employment,0.0053355256
cat__Demographics Question_Education,0.0049081617
cat__Demographics Question_Age,0.0045452337
cat__Demographics Question_Marital status,0.00391798
cat__Demographics Question_Residence,0.00354374
cat__Question_... if she argues with him,0.003023794
cat__Gender_M,0.0
num__SurveyYear,0.0
