feature,importance
cat__Demographics Response_No education,0.38614872
cat__Question_... if she refuses to have sex with him,0.12476244
cat__Question_... if she burns the food,0.10378434
cat__Question_... for at least one specific reason,0.10094796
cat__Question_... if she goes out without telling him,0.066138804
cat__Demographics Response_Higher,0.037833676
cat__Demographics Response_Urban,0.029076405
cat__Demographics Response_Rural,0.022223247
cat__Demographics Response_Secondary,0.019127714
cat__Question_... if she argues with him,0.0149526745
cat__Demographics Response_Never married,0.014396419
cat__Demographics Response_25-34,0.012376954
cat__Demographics Response_15-24,0.011449011
cat__Question_... if she neglects the children,0.009965184
cat__Demographics Question_Employment,0.009711787
cat__Demographics Question_Marital status,0.0082711
cat__Demographics Question_Education,0.0066960608
"cat__Demographics Response_Widowed, divorced, separated",0.0059630987
cat__Demographics Question_Age,0.0046366416
cat__Demographics Question_Residence,0.0038207571
cat__Demographics Response_Married or living together,0.0037502463
cat__Demographics Response_Primary,0.0023135883
cat__Demographics Response_35-49,0.0016531246
cat__Gender_F,0.0
cat__Demographics Response_Unemployed,0.0
num__SurveyYear,0.0
