feature,importance
cat__Question_... if she burns the food,0.22541595
cat__Question_... for at least one specific reason,0.14429963
cat__Demographics Response_Urban,0.0960193
cat__Demographics Response_Secondary,0.09481293
cat__Demographics Response_Higher,0.08962949
cat__Demographics Response_Employed for cash,0.064562365
cat__Question_... if she argues with him,0.052053064
cat__Demographics Response_Employed for kind,0.043469783
cat__Demographics Response_No education,0.029012913
cat__Question_... if she neglects the children,0.027376061
cat__Demographics Response_Rural,0.016602045
cat__Demographics Response_15-24,0.015348637
cat__Demographics Question_Marital status,0.0133437235
cat__Demographics Response_Never married,0.013092214
cat__Question_... if she goes out without telling him,0.01130371
cat__Demographics Question_Employment,0.008965535
cat__Demographics Question_Age,0.008569951
"cat__Demographics Response_Widowed, divorced, separated",0.007748267
cat__Demographics Response_Primary,0.006395072
cat__Demographics Response_35-49,0.006394978
cat__Demographics Response_25-34,0.005342485
cat__Demographics Response_Unemployed,0.004917166
cat__Demographics Question_Residence,0.0045475136
cat__Demographics Response_Married or living together,0.0037811066
cat__Question_... if she refuses to have sex with him,0.0036106599
cat__Demographics Question_Education,0.0033854865
cat__Gender_F,0.0
num__SurveyYear,0.0
