feature,importance
cat__Demographics Response_Higher,0.33576077
cat__Question_... for at least one specific reason,0.13044132
cat__Gender_F,0.07632929
cat__Demographics Response_Urban,0.07312178
cat__Question_... if she burns the food,0.05279046
cat__Demographics Response_Employed for kind,0.047301173
cat__Demographics Response_Secondary,0.035162825
cat__Demographics Response_Unemployed,0.027585134
cat__Demographics Response_Never married,0.025313212
cat__Demographics Response_Rural,0.023509933
cat__Question_... if she refuses to have sex with him,0.022173733
cat__Demographics Question_Marital status,0.016628304
cat__Demographics Response_Primary,0.016432207
cat__Demographics Question_Age,0.014463324
cat__Question_... if she goes out without telling him,0.011726135
cat__Demographics Response_No education,0.010894245
cat__Demographics Question_Employment,0.010379011
cat__Demographics Response_Employed for cash,0.009872243
cat__Demographics Response_35-49,0.009569146
cat__Demographics Response_25-34,0.008973013
cat__Demographics Question_Education,0.0086821
cat__Demographics Question_Residence,0.007876917
cat__Demographics Response_Married or living together,0.007481498
cat__Demographics Response_15-24,0.0067174677
cat__Question_... if she neglects the children,0.004055933
"cat__Demographics Response_Widowed, divorced, separated",0.0036132631
cat__Question_... if she argues with him,0.003145671
cat__Gender_M,0.0
num__SurveyYear,0.0
