feature,importance
cat__Question_... for at least one specific reason,0.25868672
cat__Demographics Response_Higher,0.15340993
cat__Question_... if she burns the food,0.09066877
cat__Demographics Response_No education,0.069354504
cat__Question_... if she refuses to have sex with him,0.062690735
cat__Demographics Response_Urban,0.044409778
cat__Demographics Response_35-49,0.042909853
cat__Demographics Response_25-34,0.03317716
"cat__Demographics Response_Widowed, divorced, separated",0.03230756
cat__Demographics Response_Married or living together,0.021133464
cat__Demographics Response_Employed for cash,0.021099979
cat__Demographics Response_Primary,0.020470578
cat__Demographics Response_15-24,0.02027172
cat__Question_... if she argues with him,0.0150970975
cat__Gender_F,0.0145199895
cat__Demographics Response_Secondary,0.013478598
cat__Demographics Question_Residence,0.012783607
cat__Demographics Question_Education,0.012436617
cat__Demographics Response_Never married,0.011724493
cat__Demographics Response_Rural,0.009846316
cat__Demographics Question_Employment,0.008992297
cat__Demographics Question_Marital status,0.0068847323
cat__Demographics Question_Age,0.005970402
cat__Question_... if she goes out without telling him,0.0051290896
cat__Question_... if she neglects the children,0.0043869577
cat__Demographics Response_Unemployed,0.004218544
cat__Demographics Response_Employed for kind,0.0039405157
cat__Gender_M,0.0
num__SurveyYear,0.0
