Country,Gender,Demographics Question,Demographics Response,Survey Year,Value,SurveyYear_raw,Value_raw,SurveyYear
Afghanistan,F,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,M,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,F,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,F,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,F,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,F,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,F,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,M,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,M,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,M,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,M,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Afghanistan,M,Marital status,Never married,01/01/2015,,01/01/2015,,2015
Armenia,F,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,M,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,F,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,F,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,F,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,F,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,F,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,M,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,M,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,M,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,M,Education,No education,01/01/2015,,01/01/2015,,2015
Armenia,M,Education,No education,01/01/2015,,01/01/2015,,2015
Azerbaijan,M,Education,No education,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,Primary,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,No education,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,Primary,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,No education,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,Primary,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,No education,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,Primary,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,No education,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,Primary,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,No education,01/01/2006,,01/01/2006,,2006
Azerbaijan,M,Education,Primary,01/01/2006,,01/01/2006,,2006
Bangladesh,F,Marital status,Never married,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,15-24,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,25-34,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,35-49,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Education,Higher,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Education,No education,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Education,Primary,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Education,Secondary,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Employment,Employed for cash,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Employment,Employed for kind,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Employment,Unemployed,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Marital status,Married or living together,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Marital status,Never married,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Marital status,"Widowed, divorced, separated",01/01/2014,,01/01/2014,,2014
Bangladesh,M,Residence,Rural,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Residence,Urban,01/01/2014,,01/01/2014,,2014
Bangladesh,F,Marital status,Never married,01/01/2014,,01/01/2014,,2014
Bangladesh,F,Marital status,Never married,01/01/2014,,01/01/2014,,2014
Bangladesh,F,Marital status,Never married,01/01/2014,,01/01/2014,,2014
Bangladesh,F,Marital status,Never married,01/01/2014,,01/01/2014,,2014
Bangladesh,F,Marital status,Never married,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,15-24,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,25-34,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,35-49,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,15-24,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,25-34,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,35-49,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,15-24,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,25-34,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,35-49,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,15-24,01/01/2014,,01/01/2014,,2014
Bangladesh,M,Age,25-34,01/01/2014,,01/01/2014,,2014
