feature,importance
cat__Gender_M,0.2187337
cat__Gender_F,0.16390155
cat__Demographics Response_Employed for kind,0.11610174
cat__Demographics Question_Age,0.07116464
cat__Demographics Question_Marital status,0.06281087
cat__Demographics Response_Married or living together,0.060088973
"cat__Demographics Response_Widowed, divorced, separated",0.05082924
cat__Demographics Response_Higher,0.038229693
cat__Demographics Response_35-49,0.03428136
cat__Demographics Response_Rural,0.026758233
cat__Demographics Response_Primary,0.025635188
cat__Demographics Response_Unemployed,0.021302994
cat__Demographics Response_Never married,0.019564113
cat__Demographics Response_Secondary,0.019499863
cat__Demographics Response_Urban,0.019263184
cat__Demographics Question_Employment,0.018107187
cat__Demographics Question_Education,0.017173251
cat__Demographics Response_Employed for cash,0.011814119
cat__Demographics Response_15-24,0.0047399625
cat__Demographics Response_25-34,0.0
cat__Demographics Question_Residence,0.0
num__SurveyYear,0.0
