feature,importance
cat__Demographics Question_Marital status,0.16341108
cat__Demographics Response_No education,0.118057504
cat__Gender_M,0.09936901
cat__Demographics Response_35-49,0.0858242
cat__Demographics Response_Employed for kind,0.07780727
cat__Gender_F,0.06943707
cat__Demographics Response_Employed for cash,0.06332017
cat__Demographics Response_Higher,0.057574116
cat__Demographics Question_Education,0.04669141
cat__Demographics Question_Age,0.045375776
cat__Demographics Response_Urban,0.04269658
cat__Demographics Response_Rural,0.03597911
cat__Demographics Response_Primary,0.027451303
cat__Demographics Response_Never married,0.019378902
"cat__Demographics Response_Widowed, divorced, separated",0.018277083
cat__Demographics Response_Secondary,0.012980825
cat__Demographics Response_Married or living together,0.011857231
cat__Demographics Response_Unemployed,0.004511302
cat__Demographics Question_Residence,0.0
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Response_25-34,0.0
num__SurveyYear,0.0
