feature,importance
cat__Demographics Response_Urban,0.092753336
cat__Demographics Response_Primary,0.084490165
cat__Demographics Response_Employed for kind,0.08216154
cat__Demographics Response_Unemployed,0.08139523
cat__Demographics Response_Higher,0.06480337
cat__Demographics Response_Secondary,0.05861119
cat__Demographics Response_Rural,0.057342205
cat__Demographics Question_Education,0.053362157
cat__Demographics Response_No education,0.05136235
cat__Demographics Question_Employment,0.05101568
cat__Demographics Response_15-24,0.05070111
cat__Demographics Response_Employed for cash,0.04647257
cat__Demographics Response_Married or living together,0.042285543
cat__Demographics Question_Age,0.040799506
cat__Demographics Question_Marital status,0.037511114
cat__Demographics Response_25-34,0.029734986
cat__Demographics Question_Residence,0.029090712
"cat__Demographics Response_Widowed, divorced, separated",0.028660312
cat__Demographics Response_35-49,0.017447079
cat__Gender_F,0.0
num__SurveyYear,0.0
