feature,importance
cat__Gender_M,0.2970769
cat__Gender_F,0.16753417
cat__Demographics Response_Higher,0.1661345
cat__Demographics Response_Urban,0.049967617
cat__Demographics Response_Unemployed,0.041821104
cat__Demographics Response_Never married,0.030870387
cat__Demographics Response_No education,0.03083722
cat__Demographics Response_Employed for cash,0.02994064
cat__Demographics Response_Secondary,0.025819601
cat__Demographics Question_Education,0.023561742
cat__Demographics Response_15-24,0.023310527
cat__Demographics Question_Employment,0.018835964
cat__Demographics Response_35-49,0.016952557
cat__Demographics Response_Primary,0.016856406
cat__Demographics Response_Married or living together,0.014932428
cat__Demographics Question_Marital status,0.013123295
cat__Demographics Response_Rural,0.011399133
"cat__Demographics Response_Widowed, divorced, separated",0.009079424
cat__Demographics Question_Age,0.006765498
cat__Demographics Response_Employed for kind,0.005180887
cat__Demographics Response_25-34,0.0
cat__Demographics Question_Residence,0.0
num__SurveyYear,0.0
