feature,importance
cat__Demographics Response_Higher,0.5137338
cat__Demographics Response_35-49,0.051997982
cat__Demographics Question_Employment,0.04500968
cat__Demographics Response_Urban,0.04483133
cat__Demographics Question_Education,0.040324032
cat__Demographics Response_Employed for cash,0.03718626
cat__Demographics Response_No education,0.03245676
cat__Demographics Response_Rural,0.03119815
cat__Demographics Response_Primary,0.029410634
cat__Demographics Response_Married or living together,0.025243748
cat__Demographics Response_15-24,0.023888601
cat__Demographics Response_Secondary,0.023788244
cat__Demographics Response_Never married,0.021913426
cat__Demographics Response_Unemployed,0.018661601
cat__Gender_M,0.016525283
"cat__Demographics Response_Widowed, divorced, separated",0.015301712
cat__Gender_F,0.011762244
cat__Demographics Response_25-34,0.010122591
cat__Demographics Response_Employed for kind,0.004993122
cat__Demographics Question_Marital status,0.001650791
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
