feature,importance
cat__Demographics Response_Higher,0.13801986
cat__Demographics Question_Employment,0.12892975
cat__Demographics Response_Urban,0.11603558
cat__Demographics Question_Residence,0.10111032
cat__Gender_M,0.08274803
cat__Demographics Response_Secondary,0.05701766
cat__Demographics Response_Never married,0.054351732
cat__Gender_F,0.05065423
cat__Demographics Response_Married or living together,0.044146188
cat__Demographics Response_Employed for kind,0.043952987
cat__Demographics Response_15-24,0.040293746
cat__Demographics Response_35-49,0.037092105
cat__Demographics Response_Employed for cash,0.036953203
"cat__Demographics Response_Widowed, divorced, separated",0.027792715
cat__Demographics Question_Education,0.009291008
cat__Demographics Response_Primary,0.008345906
cat__Demographics Question_Age,0.0081777675
cat__Demographics Question_Marital status,0.007997251
cat__Demographics Response_Rural,0.0070899986
cat__Demographics Response_25-34,0.0
cat__Demographics Response_No education,0.0
cat__Demographics Response_Unemployed,0.0
num__SurveyYear,0.0
