feature,importance
cat__Demographics Response_Employed for kind,0.12685284
cat__Demographics Response_Higher,0.10940548
cat__Demographics Response_Urban,0.10046253
cat__Demographics Question_Marital status,0.07454165
cat__Demographics Response_Employed for cash,0.06297703
cat__Demographics Response_Secondary,0.054652136
cat__Demographics Question_Age,0.054280456
cat__Demographics Response_Unemployed,0.052523684
cat__Demographics Question_Education,0.045566507
cat__Demographics Response_35-49,0.041665714
cat__Demographics Response_No education,0.04114646
cat__Demographics Response_15-24,0.038298577
cat__Demographics Response_Married or living together,0.03728083
cat__Demographics Response_Primary,0.03421087
cat__Demographics Response_Rural,0.029547656
cat__Demographics Question_Residence,0.028088683
cat__Demographics Question_Employment,0.02632231
cat__Demographics Response_25-34,0.024828875
"cat__Demographics Response_Widowed, divorced, separated",0.01734758
cat__Gender_F,0.0
num__SurveyYear,0.0
