feature,importance
cat__Demographics Response_Higher,0.15865059
cat__Demographics Response_15-24,0.08150219
cat__Demographics Response_Secondary,0.051334683
cat__Demographics Response_Urban,0.049504075
cat__Demographics Response_35-49,0.047801133
cat__Demographics Response_Primary,0.046291392
cat__Demographics Response_Married or living together,0.04480636
cat__Demographics Response_25-34,0.043167993
cat__Demographics Response_Employed for cash,0.042744383
cat__Demographics Question_Employment,0.04254768
cat__Demographics Response_No education,0.042293023
cat__Gender_F,0.041273754
cat__Demographics Response_Unemployed,0.04061997
"cat__Demographics Response_Widowed, divorced, separated",0.038683917
cat__Demographics Response_Never married,0.038229465
cat__Demographics Question_Age,0.036298387
cat__Demographics Question_Marital status,0.03535799
cat__Demographics Question_Education,0.03206379
cat__Demographics Question_Residence,0.030819448
cat__Demographics Response_Rural,0.030662047
cat__Demographics Response_Employed for kind,0.025347786
cat__Gender_M,0.0
num__SurveyYear,0.0
