feature,importance
cat__Gender_M,0.34235898
cat__Gender_F,0.19558841
cat__Demographics Response_Higher,0.12466006
cat__Demographics Response_Urban,0.0373018
cat__Demographics Response_Employed for cash,0.03729537
cat__Demographics Response_Primary,0.030754372
cat__Demographics Response_No education,0.026363872
"cat__Demographics Response_Widowed, divorced, separated",0.025778929
cat__Demographics Response_Secondary,0.024926057
cat__Demographics Question_Residence,0.024330383
cat__Demographics Response_Never married,0.022451987
cat__Demographics Response_Unemployed,0.021598313
cat__Demographics Question_Education,0.02103163
cat__Demographics Response_Rural,0.017406868
cat__Demographics Question_Age,0.014104839
cat__Demographics Response_Employed for kind,0.0068565244
cat__Demographics Question_Marital status,0.0066176844
cat__Demographics Response_Married or living together,0.005888738
cat__Demographics Response_15-24,0.0054854723
cat__Demographics Response_35-49,0.0054721218
cat__Demographics Question_Employment,0.00372759
cat__Demographics Response_25-34,0.0
num__SurveyYear,0.0
