feature,importance
cat__Demographics Response_Higher,0.26926097
cat__Demographics Response_Urban,0.15113047
cat__Demographics Question_Education,0.14624794
cat__Demographics Response_Employed for kind,0.08003583
cat__Demographics Response_Primary,0.054581523
cat__Demographics Response_Never married,0.053182136
cat__Demographics Response_No education,0.04746803
cat__Demographics Response_Employed for cash,0.034626164
cat__Demographics Response_Married or living together,0.027462125
cat__Gender_M,0.022839185
cat__Demographics Question_Marital status,0.021837924
cat__Demographics Response_Unemployed,0.018819459
cat__Demographics Response_Secondary,0.018770412
cat__Demographics Response_15-24,0.018442078
cat__Demographics Response_Rural,0.015537482
cat__Gender_F,0.013261302
cat__Demographics Question_Age,0.0034509161
cat__Demographics Response_25-34,0.002276165
cat__Demographics Response_35-49,0.00076983025
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Employment,0.0
"cat__Demographics Response_Widowed, divorced, separated",0.0
num__SurveyYear,0.0
