feature,importance
cat__Demographics Response_Higher,0.10256711
cat__Demographics Question_Marital status,0.06135692
cat__Demographics Question_Education,0.059921585
cat__Demographics Question_Age,0.05911822
cat__Demographics Response_Secondary,0.05686427
"cat__Demographics Response_Widowed, divorced, separated",0.053305615
cat__Demographics Question_Employment,0.05239797
cat__Demographics Response_Primary,0.049903702
cat__Demographics Response_Urban,0.049067516
cat__Demographics Response_25-34,0.048637424
cat__Demographics Question_Residence,0.046852674
cat__Demographics Response_Never married,0.046543144
cat__Demographics Response_35-49,0.04634503
cat__Demographics Response_Married or living together,0.043769147
cat__Demographics Response_Employed for cash,0.04214812
cat__Gender_F,0.035894256
cat__Demographics Response_15-24,0.03273264
cat__Demographics Response_Unemployed,0.031350993
cat__Demographics Response_No education,0.030869568
cat__Demographics Response_Rural,0.027088603
cat__Demographics Response_Employed for kind,0.02326543
cat__Gender_M,0.0
num__SurveyYear,0.0
