feature,importance
cat__Gender_M,0.29017246
cat__Gender_F,0.1906117
cat__Demographics Question_Education,0.06456165
cat__Demographics Response_Primary,0.061245937
cat__Demographics Response_No education,0.05510707
cat__Demographics Response_Higher,0.051016018
cat__Demographics Response_Married or living together,0.05046596
cat__Demographics Response_Secondary,0.043055102
cat__Demographics Response_35-49,0.03724725
cat__Demographics Response_Employed for kind,0.035549812
cat__Demographics Response_Rural,0.028861629
cat__Demographics Question_Residence,0.02513412
cat__Demographics Response_Urban,0.016830673
cat__Demographics Response_Unemployed,0.0157746
cat__Demographics Response_15-24,0.012183073
"cat__Demographics Response_Widowed, divorced, separated",0.009432948
cat__Demographics Question_Marital status,0.007830358
cat__Demographics Response_Never married,0.0049196426
cat__Demographics Response_25-34,0.0
cat__Demographics Question_Employment,0.0
cat__Demographics Question_Age,0.0
num__SurveyYear,0.0
