feature,importance
cat__Gender_M,0.37235773
cat__Gender_F,0.20258895
cat__Demographics Response_Higher,0.11043073
cat__Demographics Response_Secondary,0.031235717
cat__Demographics Response_35-49,0.02884503
cat__Demographics Response_Employed for cash,0.02673582
cat__Demographics Response_Married or living together,0.02650241
cat__Demographics Response_Urban,0.023141488
cat__Demographics Question_Residence,0.022771781
cat__Demographics Response_Primary,0.020981498
cat__Demographics Question_Age,0.019985566
cat__Demographics Response_Rural,0.019428855
cat__Demographics Response_15-24,0.019088494
cat__Demographics Question_Education,0.017586516
"cat__Demographics Response_Widowed, divorced, separated",0.01597186
cat__Demographics Response_No education,0.012126879
cat__Demographics Response_Employed for kind,0.010539301
cat__Demographics Response_Never married,0.007734604
cat__Demographics Question_Marital status,0.006015474
cat__Demographics Response_25-34,0.005931331
cat__Demographics Response_Unemployed,0.0
cat__Demographics Question_Employment,0.0
num__SurveyYear,0.0
