feature,importance
cat__Demographics Response_Higher,0.22980121
cat__Demographics Response_Urban,0.10065786
"cat__Demographics Response_Widowed, divorced, separated",0.06767066
cat__Demographics Response_35-49,0.06142436
cat__Demographics Response_Married or living together,0.052340634
cat__Demographics Response_Secondary,0.051624697
cat__Demographics Response_25-34,0.051578987
cat__Demographics Response_Employed for cash,0.046528634
cat__Demographics Response_15-24,0.04104864
cat__Demographics Response_Employed for kind,0.03879965
cat__Demographics Response_Never married,0.035763647
cat__Demographics Response_Unemployed,0.029256795
cat__Demographics Response_No education,0.027707398
cat__Gender_F,0.027486376
cat__Demographics Question_Education,0.025804028
cat__Demographics Response_Primary,0.024224784
cat__Demographics Question_Residence,0.023612885
cat__Demographics Question_Marital status,0.021891033
cat__Demographics Question_Age,0.019253377
cat__Demographics Question_Employment,0.013540601
cat__Demographics Response_Rural,0.00998372
cat__Gender_M,0.0
num__SurveyYear,0.0
