feature,importance
cat__Gender_M,0.43447548
cat__Gender_F,0.25438827
cat__Demographics Response_Higher,0.07758072
cat__Demographics Response_Urban,0.035694446
cat__Demographics Response_Employed for cash,0.026657257
cat__Demographics Response_Employed for kind,0.02428533
cat__Demographics Response_Never married,0.022522718
cat__Demographics Response_Secondary,0.019791532
"cat__Demographics Response_Widowed, divorced, separated",0.018643018
cat__Demographics Response_Rural,0.013541359
cat__Demographics Question_Employment,0.013268079
cat__Demographics Response_Unemployed,0.012853059
cat__Demographics Response_Primary,0.012811255
cat__Demographics Question_Education,0.011509712
cat__Demographics Response_No education,0.0065589943
cat__Demographics Response_Married or living together,0.0059902268
cat__Demographics Response_15-24,0.0050376244
cat__Demographics Response_35-49,0.003179166
cat__Demographics Question_Marital status,0.001211857
cat__Demographics Question_Age,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Response_25-34,0.0
num__SurveyYear,0.0
