feature,importance
cat__Demographics Response_Higher,0.2972357
"cat__Demographics Response_Widowed, divorced, separated",0.11637748
cat__Demographics Question_Education,0.1038852
cat__Demographics Response_25-34,0.0840367
cat__Demographics Response_Employed for cash,0.050267275
cat__Demographics Response_Never married,0.04417667
cat__Demographics Response_Primary,0.042611364
cat__Gender_M,0.037782557
cat__Demographics Response_15-24,0.033903852
cat__Demographics Response_Urban,0.03296345
cat__Demographics Response_35-49,0.029177925
cat__Demographics Question_Age,0.023899669
cat__Demographics Response_Unemployed,0.022990283
cat__Gender_F,0.022480818
cat__Demographics Response_Married or living together,0.020733552
cat__Demographics Response_No education,0.015927766
cat__Demographics Response_Rural,0.01351419
cat__Demographics Question_Marital status,0.008035673
cat__Demographics Response_Employed for kind,0.0
cat__Demographics Response_Secondary,0.0
cat__Demographics Question_Residence,0.0
cat__Demographics Question_Employment,0.0
num__SurveyYear,0.0
