feature,importance
cat__Demographics Response_Unemployed,0.08318246
cat__Demographics Response_Higher,0.08312139
cat__Demographics Question_Age,0.07436779
cat__Demographics Response_Urban,0.07315127
cat__Demographics Response_Employed for kind,0.06254489
cat__Demographics Question_Education,0.052379597
cat__Demographics Question_Marital status,0.051072296
cat__Demographics Response_Primary,0.05076101
cat__Demographics Response_No education,0.046207067
cat__Demographics Response_Secondary,0.0461346
cat__Demographics Response_Employed for cash,0.045370597
cat__Demographics Question_Residence,0.044078182
cat__Demographics Response_35-49,0.04270618
cat__Demographics Response_25-34,0.04262553
cat__Demographics Question_Employment,0.041480616
cat__Gender_F,0.040278688
cat__Demographics Response_Rural,0.0345177
"cat__Demographics Response_Widowed, divorced, separated",0.032952636
cat__Demographics Response_Married or living together,0.028461276
cat__Demographics Response_15-24,0.024606174
cat__Gender_M,0.0
num__SurveyYear,0.0
