feature,importance
cat__Demographics Question_Education,0.09557327
cat__Demographics Question_Marital status,0.08190164
cat__Demographics Question_Age,0.073800914
cat__Demographics Question_Employment,0.07179077
cat__Demographics Question_Residence,0.053815182
cat__Demographics Response_Urban,0.052446347
cat__Demographics Response_Employed for kind,0.05060295
cat__Demographics Response_No education,0.050535668
cat__Demographics Response_Secondary,0.04672672
cat__Demographics Response_Employed for cash,0.045762964
cat__Demographics Response_Primary,0.04493243
cat__Demographics Response_35-49,0.042212833
"cat__Demographics Response_Widowed, divorced, separated",0.04153815
cat__Demographics Response_Never married,0.040469114
cat__Demographics Response_Rural,0.039544627
cat__Demographics Response_25-34,0.03888479
cat__Demographics Response_Higher,0.03724196
cat__Demographics Response_Unemployed,0.036579773
cat__Demographics Response_15-24,0.027859943
cat__Demographics Response_Married or living together,0.027779905
cat__Gender_F,0.0
num__SurveyYear,0.0
