feature,importance
cat__Gender_M,0.3520209
cat__Gender_F,0.21034242
cat__Demographics Response_Higher,0.19181316
cat__Demographics Question_Residence,0.042314198
cat__Demographics Response_Unemployed,0.029668536
cat__Demographics Response_Secondary,0.02724041
cat__Demographics Response_Urban,0.02233699
cat__Demographics Response_35-49,0.022319922
"cat__Demographics Response_Widowed, divorced, separated",0.019512985
cat__Demographics Response_No education,0.009540159
cat__Demographics Response_25-34,0.008429806
cat__Demographics Response_Employed for kind,0.0077455468
cat__Demographics Question_Employment,0.007696611
cat__Demographics Response_15-24,0.007508514
cat__Demographics Question_Marital status,0.0074137505
cat__Demographics Response_Employed for cash,0.0059233964
cat__Demographics Response_Married or living together,0.0056124786
cat__Demographics Question_Age,0.0053493935
cat__Demographics Response_Never married,0.005143826
cat__Demographics Response_Primary,0.0051123444
cat__Demographics Question_Education,0.0047563864
cat__Demographics Response_Rural,0.002198192
num__SurveyYear,0.0
