feature,importance
cat__Gender_M,0.4384801
cat__Gender_F,0.2550859
cat__Demographics Response_Higher,0.08904752
cat__Demographics Response_Never married,0.02849047
cat__Demographics Response_Secondary,0.025286257
cat__Demographics Response_Unemployed,0.024679706
cat__Demographics Response_Urban,0.021994997
cat__Demographics Response_25-34,0.019565403
cat__Demographics Response_No education,0.018625265
cat__Demographics Response_Employed for kind,0.018085781
cat__Demographics Response_Rural,0.012705169
cat__Demographics Question_Age,0.011897743
cat__Demographics Question_Employment,0.010185175
"cat__Demographics Response_Widowed, divorced, separated",0.005168875
cat__Demographics Response_Married or living together,0.0051247925
cat__Demographics Response_Employed for cash,0.0047017224
cat__Demographics Question_Residence,0.003857516
cat__Demographics Question_Education,0.0032174357
cat__Demographics Response_Primary,0.0028505404
cat__Demographics Response_35-49,0.0009496258
cat__Demographics Response_15-24,0.0
cat__Demographics Question_Marital status,0.0
num__SurveyYear,0.0
